url,title,start_date,days,money,who,pois
/travels/shanghai2/3333236.html,逛弄堂，览博物，遇见魔都美豪的丽致生活, 20170107,2天, ￥800,一个人,上海/田子坊/外滩/豫园/磁悬浮列车/美豪酒店/七宝老街/人民广场/上海博物馆/老城隍庙/外白渡桥/东方明珠/上海环球金融中心
/travels/shanghai2/2831845.html,我来到你的城市，走过你走过的路，说一声好久不见—I LOVE 上海，难忘5日游, 20160207,5天, ￥4000,,上海/上海老街/豫园/外滩/马勒别墅/田子坊/朱家角/上海交通大学/上海环球金融中心/外白渡桥/1933老场坊/东方明珠/上海杜莎夫人蜡像馆/九曲桥/南京路步行街/课植园/圆津禅院/大清邮局/人民广场/老城隍庙/磁悬浮列车/放生桥/新天地
/travels/shanghai2/2825009.html,#过大年# 当喧嚣消散，遇见最真实的上海！, 20151113,2天, ￥1000,和朋友,上海/外滩/田子坊/联艺凯文公寓/朱家角/东方明珠/外白渡桥/新天地/青浦
/travels/shanghai2/3010073.html,上海迪士尼乐园初体验！详细游园攻略 x 住玩具总动员酒店（海量夜间灯光幻影秀美照）, 20160604,2天, ￥1500,和朋友,上海
/travels/shanghai2/3180596.html,【小锋】嘿！文艺激情的上海（城市徒步+迪士尼详尽攻略）, 20160924,2天, ￥1500,和朋友,上海/外滩/田子坊/豫园/静安寺/武康大楼/武康庭/巴金故居/上海联艺凯文公寓/上海电影博物馆/华山路/上海交通大学/徐家汇天主教堂/上海图书馆/武康路
/travels/shanghai2/2966478.html,如果只在上海，这样玩儿【上海攻略】, 20160403,3天, ￥2000,和朋友,上海/上海博物馆/人民广场/新天地/淮海路/豫园/上海老街/东方明珠/上海科技馆/世纪公园/中华艺术宫/外滩/田子坊/静安寺/武康路/徐家汇公园/巴金故居/武康庭/武康大楼/华山路/丁香花园/长乐路/甜爱路
/travels/shanghai2/3022535.html,【一刷上海迪士尼】稍稍迟来的上海迪士尼乐园试运营REPO~住乐园酒店，自助餐厅有惊喜！, 20160527,2天, ￥2000,和朋友,上海
/travels/shanghaidisneyresort1446916/3115947.html,GOGO与猴妈の中华行★2016年9月游记★BirthdayTrip上海迪士尼乐园★吃货暴走族の完美1日游★附番外篇, 20160926,6天, ￥850,和父母,上海/9宫格图文精华版攻略/行前准备/哪些需要注意携带/游园小贴士/DISNEY美食大搜索/DISNEY游乐排行榜/DISNEY二日游酒店住宿推荐/上海迪士尼乐园酒店 /上海玩具总动员酒店/上海/交通信息/上海迪士尼度假区/米奇大街/帕帕里诺冰激凌/小米大厨烘焙坊/奇奇蒂蒂果摊/Mickey & Pals Market Café米奇好伙伴美味集市/美妙记忆屋/老车站商店/M大街购物廊/探险岛/翱翔•飞越地平线/雷鸣山漂流/古迹探索营/人猿泰山：丛林的呼唤/Tribal Table部落丰盛堂/宝藏湾/加勒比海盗——沉落宝藏之战/风暴来临——杰克船长之惊天特技大冒险/探险家独木舟/探秘海妖复仇号/船奇戏水滩/土图嘉风味/Barbossa’s Bounty 巴波萨烧烤/梦幻世界/欢宴广场/Tangled Tree Tavern 老藤树食栈/魔法师秘制小食/Pinocchio Village Kitchen皮诺丘乡村厨房/仙女教母妙味橱/吟游风味/Royal Banquet Hall 皇家宴会厅/小飞侠天空奇遇/爱丽丝梦游仙境迷宫/冰雪奇缘：欢唱盛会/七个小矮人矿山车/旋转疯蜜罐/晶彩奇航/明日世界/Stargazer Grill 星露台餐厅/创极速光轮/喷气背包飞行器/巴斯光年星际营救/太空幸会史迪奇/星球大战远征基地/奇想花园/花间美味/漫月轩/提摩太小吃/米奇童话专列/漫威英雄总部/漫游童话时光/幻想曲旋转木马/小飞象/十二朋友园/奇幻童话城堡/点亮奇梦：夜光幻影秀/缤纷变换沙龙/迪士尼小镇/迪士尼世界商店/丼丼屋 DONDONYA(迪士尼小镇店)/bluefrog蓝蛙(迪士尼小镇店)/芝乐坊餐厅（迪士尼小镇店）/星巴克（迪士尼小镇店）/GOGO小账本/番外篇/（农历）中秋生日大餐/GOGO私房菜（阳历）国庆生日大餐
/travels/shanghai2/3040820.html,【一个人的旅行】at魔都上海, 20160506,3天, ￥2400,一个人,上海/田子坊/上海琉璃艺术博物馆/思南路/新天地/豫园/上海博物馆/东方明珠/南京路步行街/外滩/中华艺术宫/滨江大道
/travels/shanghai2/3038975.html, 上海迪士尼开园日全记录, 20160616,2天, ￥2000,亲子,上海迪士尼度假区/上海玩具总动员酒店/迪士尼小镇
