0,9-11月,1-2天,10000以上,朋友,外滩/田子坊/联艺凯文公寓/朱家角/东方明珠/外白渡桥/新天地/青浦
1,9-11月,1-2天,1000-5000,朋友,外滩/田子坊/豫园/静安寺/武康大楼/武康庭/巴金故居/上海联艺凯文公寓/上海电影博物馆/华山路/上海交通大学/徐家汇天主教堂/上海图书馆/武康路
2,3-5月,3-5天,1000-5000,朋友,上海博物馆/人民广场/新天地/淮海路/豫园/上海老街/东方明珠/上海科技馆/世纪公园/中华艺术宫/外滩/田子坊/静安寺/武康路/徐家汇公园/巴金故居/武康庭/武康大楼/华山路/丁香花园/长乐路/甜爱路
3,9-11月,6-8天,1000以内,父母,上海迪士尼乐园酒店/上海玩具总动员酒店/上海迪士尼度假区/米奇大街/帕帕里诺冰激凌/小米大厨烘焙坊/奇奇蒂蒂果摊/Mickey & Pals Market Café米奇好伙伴美味集市/美妙记忆屋/老车站商店/M大街购物廊/探险岛/翱翔•飞越地平线/雷鸣山漂流/古迹探索营/人猿泰山：丛林的呼唤/Tribal Table部落丰盛堂/宝藏湾/加勒比海盗——沉落宝藏之战/风暴来临——杰克船长之惊天特技大冒险/探险家独木舟/探秘海妖复仇号/船奇戏水滩/土图嘉风味/Barbossa’s Bounty 巴波萨烧烤/梦幻世界/欢宴广场/Tangled Tree Tavern 老藤树食栈/魔法师秘制小食/Pinocchio Village Kitchen皮诺丘乡村厨房/仙女教母妙味橱/吟游风味/Royal Banquet Hall 皇家宴会厅/小飞侠天空奇遇/爱丽丝梦游仙境迷宫/冰雪奇缘：欢唱盛会/七个小矮人矿山车/旋转疯蜜罐/晶彩奇航/明日世界/Stargazer Grill 星露台餐厅/创极速光轮/喷气背包飞行器/巴斯光年星际营救/太空幸会史迪奇/星球大战远征基地/奇想花园/花间美味/漫月轩/提摩太小吃/米奇童话专列/漫威英雄总部/漫游童话时光/幻想曲旋转木马/小飞象/十二朋友园/奇幻童话城堡/点亮奇梦：夜光幻影秀/缤纷变换沙龙/迪士尼小镇/迪士尼世界商店/丼丼屋 DONDONYA(迪士尼小镇店)/bluefrog蓝蛙(迪士尼小镇店)/芝乐坊餐厅（迪士尼小镇店）/星巴克（迪士尼小镇店）/GOGO小账本/番外篇/（农历）中秋生日大餐/GOGO私房菜（阳历）国庆生日大餐
4,3-5月,3-5天,1000-5000,独行,田子坊/上海琉璃艺术博物馆/思南路/新天地/豫园/上海博物馆/东方明珠/南京路步行街/外滩/中华艺术宫/滨江大道
5,6-8月,6-8天,1000以内,独行,朱家角古镇景区/放生桥/课植园/北大街/朱家角河源/朱家角城隍庙/开心巧克力馆/外滩/豫园/外白渡桥/浦东图书馆/世博源/喜马拉雅中心/1933老场坊/M50创意园/莫干山路涂鸦墙/佘山国家森林公园/佘山天主教堂
6,3-5月,3-5天,1000-5000,情侣/夫妻,外滩/田子坊/豫园/南京路步行街/东方明珠/淮海路/1933老场坊/新天地/雅舍宾馆
7,3-5月,3-5天,1000以内,情侣/夫妻,陆家嘴/上海环球金融中心/陆家嘴中心绿地/田子坊/南京路步行街/外滩/人民英雄纪念碑/陈毅广场/外白渡桥/延安路高架/广场公园/上海辰山植物园/朱家角古镇景区/上海
8,9-11月,9-14天,1000-5000,独行,杭州/新安江/西湖/白堤/苏堤/杨公堤/西塘/水木印象/南京/烟雨长廊/人民广场/外滩/豫园/和平饭店/田子坊/复旦大学/上海博物馆/总统府/夫子庙/南京图书馆/南京大屠杀遇难同胞纪念馆/南京大学/鸡鸣寺/玄武湖/雷峰塔
9,6-8月,9-14天,1000-5000,父母,磁悬浮列车/上海宾家国际青年旅舍/苏州/南京路步行街/豫园/南园/上海环球金融中心/外滩/苏州河/外白渡桥/杭州/清河坊街/吴山广场/西湖/吴山天风/南湖/三潭印月/太子湾公园/雷峰塔/西塘/乡浓驿站/观前街/玄妙观/留园/拙政园/狮子林/虎丘/山塘街/周庄/双桥/沈宅
10,6-8月,3-5天,1000以内,朋友,泰晤士小镇/上海影视乐园/田子坊/新天地/武康路/上海交通大学/外滩/东方明珠/苏州河/外白渡桥/淮海路/徐家汇天主教堂
11,6-8月,3-5天,1000-5000,独行,豫园/外滩/外白渡桥/奉贤碧海金沙/世纪公园/吴淞炮台湾湿地/佘山国家森林公园/上海世博会纪念展/上海鲜花港/乌镇/上海青浦真人CS基地联盟
12,3-5月,6-8天,1000-5000,朋友,周庄/甪直/西塘/同里/盛泽/朱家角/苏州/杭州/田子坊/甜爱路/外滩/苏州博物馆/观前街/西湖/东方明珠/徐家汇天主教堂/鲁迅公园/课植园/放生桥/大清邮局/同里未知咖啡概念客栈/家美138/拙政园/山塘街/狮子林/金鸡湖/苏堤/阳澄湖/平湖秋月/柳浪闻莺/曲院风荷/白堤
13,12-2月,3-5天,1000-5000,情侣/夫妻,滴水湖/磁悬浮列车/上海知青时代精品酒店/人民广场/南京路步行街/田子坊/和平饭店/外滩/东方明珠/1933老场坊/豫园/老城隍庙/沉香阁/浦江游览/上海音乐厅/七宝老街/北大街
14,3-5月,3-5天,1000-5000,独行,西塘/新天地/豫园/中山公园/人民广场/东方明珠/外滩/烟雨长廊/永宁桥/卧龙桥/外白渡桥/苏州河/南京路步行街/田子坊
15,6-8月,9-14天,1000-5000,朋友,磁浮列车/外滩/南京路步行街/豫园/南翔馒头店(豫园路店)/新天地/南京路步行街/在路上/陆家嘴中心绿地/南京路步行街/外滩/火车上/惠山古镇/翠山人家惠泉酒坊/勤德兴馄饨店(湖滨路店)/灵山胜境/忆秦园小笼包(惠山古镇店)/惠山古镇/某鸭血粉丝店/无锡车站/虎丘/虎丘路婚纱一条街/观前街商圈/松鹤楼(观前店)/石公山/中国藏獒观赏园
16,9-11月,3-5天,1000-5000,朋友,实用信息/泰晤士小镇/田子坊/武康路/城隍庙旅游区/外滩/全聚德烤鸭店(上海浦东店)/普陀山风景区/朱家尖风景区/沙雕节
17,9-11月,15天以上,10000以上,父母,城隍庙旅游区/外滩3号/东方明珠/雷峰塔/西湖游船/绍兴火车站/鲁迅故里景区/乌镇/虎丘路婚纱一条街/拙政园/苏州博物馆/虎丘/山塘古街/沃姆酒店（苏州石路山塘街店）/薛家花园/鼋头渚/瘦西湖/何园/东关古渡/南京大学/美龄宫/明孝陵/中华门瓮城/夫子庙秦淮河风光带/南京
18,12-2月,3-5天,1000-5000,独行,外滩/静安寺/上海老街/东方明珠/田子坊/磁悬浮列车/中山公园/人民广场/上海植物园/崇明/淮海路/新天地/浦江游览/上海环球金融中心/滨江大道/南京路步行街/和平饭店/上海邮政博物馆/外白渡桥/苏州河/豫园/福佑路/老城隍庙/上海博物馆/上海大剧院/人民公园/欢乐谷/复兴公园/鲁迅公园/鲁迅故居/1933老场坊/威斯汀大饭店/星程
19,6-8月,15天以上,10000以上,朋友,人民广场
20,9-11月,3-5天,10000以上,朋友,崇明/上海衡山北郊宾馆/顾村公园/闻道园/上海玻璃博物馆
