uid,loc_seq,cate_seq
1,田子坊/朱家角/东方明珠,休闲场所/古镇/现代建筑
2,田子坊/朱家角/东方明珠,休闲场所/古镇/现代建筑
5,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
21,朱家角/田子坊/东方明珠,古镇/休闲场所/现代建筑
28,东方明珠/田子坊/上海植物园,现代建筑/休闲场所/植物园
34,上海科技馆/田子坊/上海野生动物园,展馆/休闲场所/动物园
34,上海科技馆/田子坊/上海野生动物园/东方明珠,展馆/休闲场所/动物园/现代建筑
34,田子坊/上海野生动物园/东方明珠,休闲场所/动物园/现代建筑
35,田子坊/东方明珠/上海科技馆,休闲场所/现代建筑/展馆
35,田子坊/东方明珠/上海科技馆/朱家角,休闲场所/现代建筑/展馆/古镇
35,田子坊/东方明珠/上海科技馆/朱家角/顾村公园,休闲场所/现代建筑/展馆/古镇/公园
35,田子坊/东方明珠/上海科技馆/朱家角/顾村公园/上海动物园,休闲场所/现代建筑/展馆/古镇/公园/动物园
35,东方明珠/上海科技馆/朱家角,现代建筑/展馆/古镇
35,东方明珠/上海科技馆/朱家角/顾村公园,现代建筑/展馆/古镇/公园
35,东方明珠/上海科技馆/朱家角/顾村公园/上海动物园,现代建筑/展馆/古镇/公园/动物园
35,上海科技馆/朱家角/顾村公园,展馆/古镇/公园
35,上海科技馆/朱家角/顾村公园/上海动物园,展馆/古镇/公园/动物园
35,朱家角/顾村公园/上海动物园,古镇/公园/动物园
55,田子坊/东方明珠/上海科技馆,休闲场所/现代建筑/展馆
55,田子坊/东方明珠/上海科技馆/上海野生动物园,休闲场所/现代建筑/展馆/动物园
55,田子坊/东方明珠/上海科技馆/上海野生动物园/新场古镇,休闲场所/现代建筑/展馆/动物园/古镇
55,东方明珠/上海科技馆/上海野生动物园,现代建筑/展馆/动物园
55,东方明珠/上海科技馆/上海野生动物园/新场古镇,现代建筑/展馆/动物园/古镇
55,上海科技馆/上海野生动物园/新场古镇,展馆/动物园/古镇
71,东方明珠/上海科技馆/上海科技馆,现代建筑/展馆/展馆
76,召稼楼/新场古镇/东方明珠,古镇/古镇/现代建筑
89,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
89,东方明珠/上海科技馆/田子坊/朱家角,现代建筑/展馆/休闲场所/古镇
89,东方明珠/上海科技馆/田子坊/朱家角/古猗园,现代建筑/展馆/休闲场所/古镇/公园
89,东方明珠/上海科技馆/田子坊/朱家角/古猗园/上海野生动物园,现代建筑/展馆/休闲场所/古镇/公园/动物园
89,上海科技馆/田子坊/朱家角,展馆/休闲场所/古镇
89,上海科技馆/田子坊/朱家角/古猗园,展馆/休闲场所/古镇/公园
89,上海科技馆/田子坊/朱家角/古猗园/上海野生动物园,展馆/休闲场所/古镇/公园/动物园
89,田子坊/朱家角/古猗园,休闲场所/古镇/公园
89,田子坊/朱家角/古猗园/上海野生动物园,休闲场所/古镇/公园/动物园
89,朱家角/古猗园/上海野生动物园,古镇/公园/动物园
98,东方明珠/田子坊/上海科技馆,现代建筑/休闲场所/展馆
113,田子坊/东方明珠/田子坊,休闲场所/现代建筑/休闲场所
113,田子坊/东方明珠/田子坊/东方明珠,休闲场所/现代建筑/休闲场所/现代建筑
113,东方明珠/田子坊/东方明珠,现代建筑/休闲场所/现代建筑
118,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
127,闵行体育公园/上海动物园/上海野生动物园,公园/动物园/动物园
141,上海科技馆/上海动物园/东方明珠,展馆/动物园/现代建筑
143,新场古镇/东方明珠/朱家角,古镇/现代建筑/古镇
146,古猗园/朱家角/召稼楼,公园/古镇/古镇
146,古猗园/朱家角/召稼楼/共青森林公园,公园/古镇/古镇/公园
146,朱家角/召稼楼/共青森林公园,古镇/古镇/公园
162,东方明珠/田子坊/朱家角,现代建筑/休闲场所/古镇
215,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
231,东方明珠/田子坊/东方绿舟,现代建筑/休闲场所/休闲场所
231,东方明珠/田子坊/东方绿舟/上海科技馆,现代建筑/休闲场所/休闲场所/展馆
231,田子坊/东方绿舟/上海科技馆,休闲场所/休闲场所/展馆
241,东方明珠/朱家角/田子坊,现代建筑/古镇/休闲场所
248,田子坊/东方明珠/上海科技馆,休闲场所/现代建筑/展馆
248,田子坊/东方明珠/上海科技馆/上海野生动物园,休闲场所/现代建筑/展馆/动物园
248,东方明珠/上海科技馆/上海野生动物园,现代建筑/展馆/动物园
270,朱家角/田子坊/东方明珠,古镇/休闲场所/现代建筑
285,田子坊/上海科技馆/东方明珠,休闲场所/展馆/现代建筑
291,上海动物园/上海野生动物园/东方明珠,动物园/动物园/现代建筑
291,上海动物园/上海野生动物园/东方明珠/朱家角,动物园/动物园/现代建筑/古镇
291,上海野生动物园/东方明珠/朱家角,动物园/现代建筑/古镇
406,田子坊/东方明珠/上海科技馆,休闲场所/现代建筑/展馆
406,田子坊/东方明珠/上海科技馆/朱家角,休闲场所/现代建筑/展馆/古镇
406,田子坊/东方明珠/上海科技馆/朱家角/顾村公园,休闲场所/现代建筑/展馆/古镇/公园
406,东方明珠/上海科技馆/朱家角,现代建筑/展馆/古镇
406,东方明珠/上海科技馆/朱家角/顾村公园,现代建筑/展馆/古镇/公园
406,上海科技馆/朱家角/顾村公园,展馆/古镇/公园
415,田子坊/顾村公园/朱家角,休闲场所/公园/古镇
415,田子坊/顾村公园/朱家角/召稼楼,休闲场所/公园/古镇/古镇
415,顾村公园/朱家角/召稼楼,公园/古镇/古镇
431,上海植物园/召稼楼/老外街,植物园/古镇/休闲场所
458,上海科技馆/东方绿舟/共青森林公园,展馆/休闲场所/公园
458,上海科技馆/东方绿舟/共青森林公园/顾村公园,展馆/休闲场所/公园/公园
458,上海科技馆/东方绿舟/共青森林公园/顾村公园/东方明珠,展馆/休闲场所/公园/公园/现代建筑
458,上海科技馆/东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园,展馆/休闲场所/公园/公园/现代建筑/公园
458,上海科技馆/东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园,展馆/休闲场所/公园/公园/现代建筑/公园/动物园
458,上海科技馆/东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园,展馆/休闲场所/公园/公园/现代建筑/公园/动物园/动物园
458,上海科技馆/东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园/上海植物园,展馆/休闲场所/公园/公园/现代建筑/公园/动物园/动物园/植物园
458,东方绿舟/共青森林公园/顾村公园,休闲场所/公园/公园
458,东方绿舟/共青森林公园/顾村公园/东方明珠,休闲场所/公园/公园/现代建筑
458,东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园,休闲场所/公园/公园/现代建筑/公园
458,东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园,休闲场所/公园/公园/现代建筑/公园/动物园
458,东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园,休闲场所/公园/公园/现代建筑/公园/动物园/动物园
458,东方绿舟/共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园/上海植物园,休闲场所/公园/公园/现代建筑/公园/动物园/动物园/植物园
458,共青森林公园/顾村公园/东方明珠,公园/公园/现代建筑
458,共青森林公园/顾村公园/东方明珠/和平公园,公园/公园/现代建筑/公园
458,共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园,公园/公园/现代建筑/公园/动物园
458,共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园,公园/公园/现代建筑/公园/动物园/动物园
458,共青森林公园/顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园/上海植物园,公园/公园/现代建筑/公园/动物园/动物园/植物园
458,顾村公园/东方明珠/和平公园,公园/现代建筑/公园
458,顾村公园/东方明珠/和平公园/上海野生动物园,公园/现代建筑/公园/动物园
458,顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园,公园/现代建筑/公园/动物园/动物园
458,顾村公园/东方明珠/和平公园/上海野生动物园/上海动物园/上海植物园,公园/现代建筑/公园/动物园/动物园/植物园
458,东方明珠/和平公园/上海野生动物园,现代建筑/公园/动物园
458,东方明珠/和平公园/上海野生动物园/上海动物园,现代建筑/公园/动物园/动物园
458,东方明珠/和平公园/上海野生动物园/上海动物园/上海植物园,现代建筑/公园/动物园/动物园/植物园
458,和平公园/上海野生动物园/上海动物园,公园/动物园/动物园
458,和平公园/上海野生动物园/上海动物园/上海植物园,公园/动物园/动物园/植物园
458,上海野生动物园/上海动物园/上海植物园,动物园/动物园/植物园
484,田子坊/上海动物园/顾村公园,休闲场所/动物园/公园
576,朱家角/新场古镇/召稼楼,古镇/古镇/古镇
880,东方明珠/田子坊/朱家角,现代建筑/休闲场所/古镇
880,东方明珠/田子坊/朱家角/上海科技馆,现代建筑/休闲场所/古镇/展馆
880,田子坊/朱家角/上海科技馆,休闲场所/古镇/展馆
1013,田子坊/东方明珠/东方明珠,休闲场所/现代建筑/现代建筑
1144,上海野生动物园/东方明珠/上海科技馆,动物园/现代建筑/展馆
1144,上海野生动物园/东方明珠/上海科技馆/朱家角,动物园/现代建筑/展馆/古镇
1144,上海野生动物园/东方明珠/上海科技馆/朱家角/东方绿舟,动物园/现代建筑/展馆/古镇/休闲场所
1144,上海野生动物园/东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园,动物园/现代建筑/展馆/古镇/休闲场所/动物园
1144,上海野生动物园/东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇,动物园/现代建筑/展馆/古镇/休闲场所/动物园/古镇
1144,上海野生动物园/东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇/上海植物园,动物园/现代建筑/展馆/古镇/休闲场所/动物园/古镇/植物园
1144,上海野生动物园/东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇/上海植物园/共青森林公园,动物园/现代建筑/展馆/古镇/休闲场所/动物园/古镇/植物园/公园
1144,东方明珠/上海科技馆/朱家角,现代建筑/展馆/古镇
1144,东方明珠/上海科技馆/朱家角/东方绿舟,现代建筑/展馆/古镇/休闲场所
1144,东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园,现代建筑/展馆/古镇/休闲场所/动物园
1144,东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇,现代建筑/展馆/古镇/休闲场所/动物园/古镇
1144,东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇/上海植物园,现代建筑/展馆/古镇/休闲场所/动物园/古镇/植物园
1144,东方明珠/上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇/上海植物园/共青森林公园,现代建筑/展馆/古镇/休闲场所/动物园/古镇/植物园/公园
1144,上海科技馆/朱家角/东方绿舟,展馆/古镇/休闲场所
1144,上海科技馆/朱家角/东方绿舟/上海动物园,展馆/古镇/休闲场所/动物园
1144,上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇,展馆/古镇/休闲场所/动物园/古镇
1144,上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇/上海植物园,展馆/古镇/休闲场所/动物园/古镇/植物园
1144,上海科技馆/朱家角/东方绿舟/上海动物园/新场古镇/上海植物园/共青森林公园,展馆/古镇/休闲场所/动物园/古镇/植物园/公园
1144,朱家角/东方绿舟/上海动物园,古镇/休闲场所/动物园
1144,朱家角/东方绿舟/上海动物园/新场古镇,古镇/休闲场所/动物园/古镇
1144,朱家角/东方绿舟/上海动物园/新场古镇/上海植物园,古镇/休闲场所/动物园/古镇/植物园
1144,朱家角/东方绿舟/上海动物园/新场古镇/上海植物园/共青森林公园,古镇/休闲场所/动物园/古镇/植物园/公园
1144,东方绿舟/上海动物园/新场古镇,休闲场所/动物园/古镇
1144,东方绿舟/上海动物园/新场古镇/上海植物园,休闲场所/动物园/古镇/植物园
1144,东方绿舟/上海动物园/新场古镇/上海植物园/共青森林公园,休闲场所/动物园/古镇/植物园/公园
1144,上海动物园/新场古镇/上海植物园,动物园/古镇/植物园
1144,上海动物园/新场古镇/上海植物园/共青森林公园,动物园/古镇/植物园/公园
1144,新场古镇/上海植物园/共青森林公园,古镇/植物园/公园
1209,东方明珠/田子坊/上海科技馆,现代建筑/休闲场所/展馆
1259,东方明珠/田子坊/朱家角,现代建筑/休闲场所/古镇
1300,上海科技馆/东方明珠/上海动物园,展馆/现代建筑/动物园
1343,田子坊/东方明珠/朱家角,休闲场所/现代建筑/古镇
1362,东方明珠/田子坊/召稼楼,现代建筑/休闲场所/古镇
1365,东方明珠/田子坊/朱家角,现代建筑/休闲场所/古镇
1807,东方明珠/田子坊/朱家角,现代建筑/休闲场所/古镇
1807,东方明珠/田子坊/朱家角/召稼楼,现代建筑/休闲场所/古镇/古镇
1807,田子坊/朱家角/召稼楼,休闲场所/古镇/古镇
1880,共青森林公园/东方明珠/共青森林公园,公园/现代建筑/公园
1880,共青森林公园/东方明珠/共青森林公园/共青森林公园,公园/现代建筑/公园/公园
1880,东方明珠/共青森林公园/共青森林公园,现代建筑/公园/公园
1995,上海科技馆/闵行体育公园/田子坊,展馆/公园/休闲场所
2021,东方明珠/上海科技馆/上海科技馆,现代建筑/展馆/展馆
2187,古猗园/田子坊/朱家角,公园/休闲场所/古镇
2224,东方明珠/田子坊/古猗园,现代建筑/休闲场所/公园
2266,上海野生动物园/田子坊/朱家角,动物园/休闲场所/古镇
2272,东方明珠/上海野生动物园/上海植物园,现代建筑/动物园/植物园
2272,东方明珠/上海野生动物园/上海植物园/共青森林公园,现代建筑/动物园/植物园/公园
2272,东方明珠/上海野生动物园/上海植物园/共青森林公园/朱家角,现代建筑/动物园/植物园/公园/古镇
2272,上海野生动物园/上海植物园/共青森林公园,动物园/植物园/公园
2272,上海野生动物园/上海植物园/共青森林公园/朱家角,动物园/植物园/公园/古镇
2272,上海植物园/共青森林公园/朱家角,植物园/公园/古镇
2290,田子坊/上海科技馆/东方明珠,休闲场所/展馆/现代建筑
2498,上海野生动物园/上海科技馆/朱家角,动物园/展馆/古镇
2498,上海野生动物园/上海科技馆/朱家角/东方明珠,动物园/展馆/古镇/现代建筑
2498,上海野生动物园/上海科技馆/朱家角/东方明珠/上海动物园,动物园/展馆/古镇/现代建筑/动物园
2498,上海科技馆/朱家角/东方明珠,展馆/古镇/现代建筑
2498,上海科技馆/朱家角/东方明珠/上海动物园,展馆/古镇/现代建筑/动物园
2498,朱家角/东方明珠/上海动物园,古镇/现代建筑/动物园
2501,顾村公园/共青森林公园/闵行体育公园,公园/公园/公园
2534,东方明珠/田子坊/上海欢乐谷,现代建筑/休闲场所/游乐场
2581,东方明珠/朱家角/上海动物园,现代建筑/古镇/动物园
2581,东方明珠/朱家角/上海动物园/上海科技馆,现代建筑/古镇/动物园/展馆
2581,朱家角/上海动物园/上海科技馆,古镇/动物园/展馆
2594,新场古镇/东方明珠/上海野生动物园,古镇/现代建筑/动物园
2712,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
2712,东方明珠/上海科技馆/田子坊/朱家角,现代建筑/展馆/休闲场所/古镇
2712,上海科技馆/田子坊/朱家角,展馆/休闲场所/古镇
2827,新场古镇/东方明珠/上海野生动物园,古镇/现代建筑/动物园
2943,东方明珠/田子坊/上海科技馆,现代建筑/休闲场所/展馆
2992,朱家角/召稼楼/新场古镇,古镇/古镇/古镇
3127,朱家角/田子坊/东方明珠,古镇/休闲场所/现代建筑
3146,召稼楼/朱家角/田子坊,古镇/古镇/休闲场所
